date,contents
2000-04-26,"[""1920 – Cộng hòa Xô viết Nhân dân Khorezm chính thức thành lập sau khi khả hãn bị lật đổ."",""1925 – Paul von Hindenburg đánh bại Wilhelm Marx trong vòng hai cuộc bầu cử tổng thống trực tiếp đầu tiên của Cộng hòa Weimar."",""1986 – Một trong các lò phản ứng của nhà máy điện hạt nhân tại Chernobyl, Ukraina, Liên Xô phát nổ, gây nên thảm hoạ hạt nhân nghiêm trọng nhất trong lịch sử.""]"
2000-04-27,"[""629 – Tướng quân Shahrbaraz soán vị quân chủ Sassanid Ba Tư từ Ardashir III, song về sau lại bị hạ bệ."",""1521 – Nhà thám hiểm Fernão de Magalhães bị người dân bản địa sát hại tại đảo Mactan thuộc Philippines ngày nay."",""1909 – Sultan Abdul Hamid II của Ottoman bị lật đổ, kế vị là em trai Mehmed V."",""1959 – Lưu Thiếu Kỳ được Quốc hội bầu làm Chủ tịch nước Trung Quốc, kế nhiệm Mao Trạch Đông, làm nguyên thủ quốc gia trên danh nghĩa.""]"
2000-04-28,"[""224 – Đế quốc Parthia Ba Tư sụp đổ trước Sasanid sau khi quân đội thất bại trong trận đánh tại Hormozdgan."",""1967 – Chiến tranh Việt Nam: Vận động viên quyền Anh Muhammad Ali từ chối nhập ngũ Lục quân Hoa Kỳ và sau đó bị tước danh hiệu vô địch và giấy phép."",""1984 – Bắt đầu trận Lão Sơn giữa Quân Giải phóng Nhân dân Trung Quốc và Quân đội Nhân dân Việt Nam ở khu vực biên giới Văn Sơn–Hà Giang.""]"
2000-04-29,"[""1770 – Nhà thám hiểm người Anh James Cook và các thủy thủ trên tàu HMS Endeavour đổ bộ và đặt tên cho vịnh Botany ở bờ biển phía đông của lục địa Úc."",""1970 – Chiến tranh Việt Nam: Quân Việt Nam Cộng hoà và Hoa Kỳ xâm nhập Campuchia để tìm kiếm ""Việt Cộng"".""]"
2000-04-30,"[""502 – Sau khi buộc Nam Tề Hòa Đế phải trao hoàng đế tỉ cho mình, Lương vương Tiêu Diễn lên ngôi hoàng đế, khởi đầu triều Lương."",""1945 – Adolf Hitler và Eva Braun cùng tự sát sau khi kết hôn chỉ được một ngày. Hồng Quân cắm cờ thắng lợi trên nóc Tòa nhà Quốc hội Đức."",""1948 – 21 quốc gia châu Mỹ ký hiến chương của Tổ chức các quốc gia châu Mỹ tại Bogotá, Colombia."",""1975 – Lực lượng Quân đội Nhân dân Việt Nam và Quân Giải phóng miền Nam chiếm Sài Gòn, kết thúc chiến tranh Việt Nam.""]"
2000-05-01,"[""280 – Hoàng đế Tôn Hạo của Đông Ngô ra khỏi kinh thành Kiến Khang đầu hàng quân Tấn, thời kỳ Tam Quốc kết thúc."",""1844 – Lực lượng cảnh sát Hồng Kông được thành lập, trở thành cơ quan cảnh sát hiện đại đầu tiên tại châu Á, nhằm duy trì luật pháp và trật tự tại thuộc địa của Anh."",""1950 – Guam được tổ chức thành một vùng thịnh vượng chung của Hoa Kỳ."",""2019 – Hoàng thái tử Naruhito đăng cơ ngôi vị Thiên hoàng thứ 126 của Nhật Bản, sau khi cha ông là Akihito thoái vị, lấy niên hiệu là Lệnh Hòa.""]"
2000-05-02,"[""1559 – John Knox trở về Scotland sau một thời gian lưu vong nhằm lãnh đạo cải cách tôn giáo tại Scotland."",""1999 – Mireya Moscoso trở thành phụ nữ đầu tiên được bầu làm tổng thống Panama trong tổng tuyển cử."",""2011 – Osama bin Laden bị lực lượng biệt kích của Hoa Kỳ bắn chết trong nơi ẩn náu tại Abbottabad, Khyber Pakhtunkhwa, Pakistan.""]"
2000-05-03,"[""1481 – Sultan Mehmed II của Ottoman từ trần, nguyên nhân được cho là do trúng độc, tin tức này khiến các quốc gia châu Âu ăn mừng."",""1868 – Chiến tranh Mậu Thìn: Tướng Quân Tokugawa Keiki đầu hàng giao thành Edo cho quân đội của Chính phủ Minh Trị."",""1928 – Sự kiện Tế Nam: Lấy lý do 12 thường dân Nhật Bản thiệt mạng, quân đội Nhật Bản tiến công khiến hơn 6.000 quân dân Trung Quốc thiệt mạng.""]"
2000-05-04,"[""1919 – Phong trào Ngũ Tứ: Học sinh Bắc Kinh tụ tập trước Thiên An Môn nhằm tuần hành kháng nghị Hòa ước Versailles và 21 điều của Nhật Bản."",""1942 – Chiến tranh thế giới thứ hai: Trận chiến biển San Hô bắt đầu bằng khi Hoa Kỳ tấn công quân đội Nhật Bản trên đảo Tulagi thuộc quần đảo Solomon."",""1979 – Margaret Thatcher trở thành nữ thủ tướng Anh đầu tiên, sau khi Đảng Bảo thủ đắc cử.""]"
2000-05-05,"[""1260 – Dưới sự ủng hộ của một bộ phận tông vương và đại thần, Hốt Tất Liệt tự lập làm hoàng đế của Đế quốc Mông Cổ."",""1945 – Chiến tranh thế giới thứ hai: Trận lâu đài Itter, một trong hai trận chiến duy nhất trong cuộc chiến mà quân Mỹ và quân Đức hợp tác chiến đấu."",""1949 – Hiệp ước Luân Đôn thành lập Ủy hội châu Âu, thể chế đầu tiên hoạt động nhằm nhất thể hóa châu Âu."",""1950 – Bhumibol Adulyadej đăng cơ quốc vương Thái Lan tại vương cung ở Bangkok."",""1980 – Cuộc bao vây Đại sứ quán Iran: Các binh sĩ Anh xông vào phái bộ ngoại giao Iran tại London sau khi nơi này bị bao vây sáu ngày.""]"
